random_seed,StandardScaler95,StandardScaler75,RobustSigmoid95,RobustSigmoid75
16,0.625,0.625,0.625,0.6739130434782609
32,0.6141304347826086,0.6684782608695652,0.657608695652174,0.7391304347826086
64,0.5706521739130435,0.5978260869565217,0.5978260869565217,0.6684782608695652
128,0.6847826086956522,0.7010869565217391,0.6739130434782609,0.7010869565217391
256,0.5978260869565217,0.6793478260869565,0.6847826086956522,0.717391304347826
512,0.6358695652173914,0.6956521739130435,0.6630434782608695,0.7119565217391305
1024,0.5815217391304348,0.6032608695652174,0.6902173913043478,0.6847826086956522
2048,0.6467391304347826,0.6956521739130435,0.6739130434782609,0.7228260869565217
5096,0.6413043478260869,0.625,0.6739130434782609,0.6793478260869565
10192,0.5869565217391305,0.592391304347826,0.6413043478260869,0.6847826086956522
